x,y
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
367,255
367,255
367,255
367,255
367,255
367,255
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,257
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,255
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
368,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
367,256
